,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
1,3/14/2026,21:00,       ,  56.000 ,-587.910.341,Đi lại,,,,Grab
2,3/14/2026,21:00,       ,  264.000 ,-587.854.341,Food and Dining,Ăn nhậu,,,Đi ăn với th Lễ
3,3/14/2026,13:00,       ,  70.000 ,-587.590.341,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cơm trưa
4,3/14/2026,08:00,       ,  50.000 ,-587.520.341,Đi lại,Xăng xe,,,
5,3/12/2026,12:00,       ,  30.000 ,-587.470.341,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
6,3/12/2026,12:00,       ,  25.000 ,-587.440.341,Food and Dining,Ăn/Uống vặt,,,Sinh tố
7,3/11/2026,18:00,       ,  160.000 ,-587.415.341,Food and Dining,Đi siêu thị,,,Bhxanh
8,3/11/2026,12:00,       ,  30.000 ,-587.255.341,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
9,3/9/2026,12:00,       ,  45.000 ,-587.225.341,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
10,3/9/2026,12:00,       ,  20.000 ,-587.180.341,Food and Dining,Ăn/Uống vặt,,,Nc cam
11,3/8/2026,09:27,       ,  312.000 ,-587.160.341,Food and Dining,Đi chợ,,,"200 chả cá
20k khổ qua
62k rau nấm
30k đậu hũ"
12,3/8/2026,09:27,       ,  50.000 ,-586.848.341,Health & Fitness,,,,Khẩu trang
13,3/8/2026,09:27,       ,  12.000 ,-586.798.341,Food and Dining,Ăn/Uống vặt,,,Nc dừa
14,3/8/2026,08:00,       ,  87.778 ,-586.786.341,Vui chơi - Giải trí,,,,Ytube
15,3/7/2026,23:18,       ,  30.000 ,-586.698.563,Vui chơi - Giải trí,,,,Nạp mua acccl gogle
16,3/7/2026,14:00,       ,  540.000 ,-586.668.563,Personal,,,,Mua gg one + gemini pro
17,3/7/2026,11:00,       ,  16.000 ,-586.128.563,Food and Dining,Ăn/Uống vặt,,,Nc dừa
18,3/7/2026,11:00,       ,  296.000 ,-586.112.563,Mua sắm,,,,Dr.diy
19,3/6/2026,19:41,       ,  711.200 ,-585.816.563,Food and Dining,Đi siêu thị,,,Go
20,3/6/2026,12:00,       ,  30.000 ,-585.105.363,Food and Dining,Ăn ngoài tiệm(Cty),,,
21,3/6/2026,12:00,       ,  20.000 ,-585.075.363,Food and Dining,Ăn/Uống vặt,,,Nc cam
22,3/6/2026,10:00,       ,  2.100.000 ,-585.055.363,Utilities,Thuê nhà,,,
23,3/5/2026,20:57,       ,  11.500.000 ,-582.955.363,Gia Đình Lớn,,,,"10tr cho Oanh(đất cô)
1tr cho mẹ
500k sữa cho Tom"
24,3/5/2026,12:00,       ,  45.000 ,-571.455.363,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
